DATE,CORESTICKM159SFRBATL
1968-01-01 00:00:00,3.6518610599818535
1968-02-01 00:00:00,3.6738194107580613
1968-03-01 00:00:00,4.142163974682367
1968-04-01 00:00:00,4.155828094603198
1968-05-01 00:00:00,4.0882454366026
1968-06-01 00:00:00,4.545569346540401
1968-07-01 00:00:00,4.75307633367239
1968-08-01 00:00:00,4.946606600211378
1968-09-01 00:00:00,4.948246979399884
1968-10-01 00:00:00,5.182592347420223
1968-11-01 00:00:00,5.399387943978162
1968-12-01 00:00:00,5.706347843107684
1969-01-01 00:00:00,5.7461969606039665
1969-02-01 00:00:00,5.749956071425766
1969-03-01 00:00:00,6.125157849229201
1969-04-01 00:00:00,6.5056204206111135
1969-05-01 00:00:00,6.780633973812611
1969-06-01 00:00:00,6.375966005180422
1969-07-01 00:00:00,6.389268620874766
1969-08-01 00:00:00,6.414746498297186
1969-09-01 00:00:00,6.834758298551069
1969-10-01 00:00:00,6.560106335612326
1969-11-01 00:00:00,6.437390535206022
1969-12-01 00:00:00,6.402163808493366
1970-01-01 00:00:00,6.5923700137673125
1970-02-01 00:00:00,7.053805927392043
1970-03-01 00:00:00,6.99309612276533
1970-04-01 00:00:00,6.817838113146024
1970-05-01 00:00:00,6.94773473089314
1970-06-01 00:00:00,7.151974843519615
1970-07-01 00:00:00,7.007875669673425
1970-08-01 00:00:00,7.114872285434326
1970-09-01 00:00:00,7.08126303895209
1970-10-01 00:00:00,7.057638254821952
1970-11-01 00:00:00,7.3276200642281575
1970-12-01 00:00:00,7.342681298381115
1971-01-01 00:00:00,7.014858012051173
1971-02-01 00:00:00,6.32960497866617
1971-03-01 00:00:00,5.501608470110986
1971-04-01 00:00:00,5.306250793661538
1971-05-01 00:00:00,5.0602792371609695
1971-06-01 00:00:00,5.239199701316877
1971-07-01 00:00:00,5.165044196731228
1971-08-01 00:00:00,4.9136208113747415
1971-09-01 00:00:00,4.67238530753793
1971-10-01 00:00:00,4.376576592916348
1971-11-01 00:00:00,3.9531538985905224
1971-12-01 00:00:00,3.6772583088616972
1972-01-01 00:00:00,3.7282804686182835
1972-02-01 00:00:00,3.84150296660819
1972-03-01 00:00:00,4.0579162529827295
1972-04-01 00:00:00,3.9714030236369657
1972-05-01 00:00:00,3.863863418278024
1972-06-01 00:00:00,3.488589958751054
1972-07-01 00:00:00,3.4673408549485307
1972-08-01 00:00:00,3.3661290816280776
1972-09-01 00:00:00,3.1247261995736686
1972-10-01 00:00:00,3.331141240567148
1972-11-01 00:00:00,3.268535942908146
1972-12-01 00:00:00,3.147816809014947
1973-01-01 00:00:00,2.842802670900335
1973-02-01 00:00:00,2.8811427449553673
1973-03-01 00:00:00,2.9293741362747427
1973-04-01 00:00:00,3.031703084636961
1973-05-01 00:00:00,3.175423207114192
1973-06-01 00:00:00,3.0987436678114655
1973-07-01 00:00:00,3.0133197137769407
1973-08-01 00:00:00,3.3227131877845206
1973-09-01 00:00:00,3.9446079223573127
1973-10-01 00:00:00,4.76523814480041
1973-11-01 00:00:00,4.927794502354943
1973-12-01 00:00:00,5.30805948034041
1974-01-01 00:00:00,5.845776926406554
1974-02-01 00:00:00,6.291538116346729
1974-03-01 00:00:00,6.816162732992548
1974-04-01 00:00:00,7.104721156383431
1974-05-01 00:00:00,7.728315605387492
1974-06-01 00:00:00,8.616369341060803
1974-07-01 00:00:00,9.526994823989043
1974-08-01 00:00:00,10.103211029213345
1974-09-01 00:00:00,10.593110105721193
1974-10-01 00:00:00,10.561468060913803
1974-11-01 00:00:00,10.985727168587879
1974-12-01 00:00:00,11.496042915038762
1975-01-01 00:00:00,11.624378563777649
1975-02-01 00:00:00,11.784135356713165
1975-03-01 00:00:00,11.573788456347977
1975-04-01 00:00:00,11.698351765999027
1975-05-01 00:00:00,10.926931314951617
1975-06-01 00:00:00,10.432971739451592
1975-07-01 00:00:00,9.767431430037643
1975-08-01 00:00:00,8.920589926809885
1975-09-01 00:00:00,8.52042116472056
1975-10-01 00:00:00,8.109587524768603
1975-11-01 00:00:00,8.092959791115039
1975-12-01 00:00:00,7.685189103324941
1976-01-01 00:00:00,7.691042385554336
1976-02-01 00:00:00,7.373666254604649
1976-03-01 00:00:00,7.334813689299269
1976-04-01 00:00:00,6.847460223364532
1976-05-01 00:00:00,6.965887097298751
1976-06-01 00:00:00,6.871017007911795
1976-07-01 00:00:00,7.088593776940644
1976-08-01 00:00:00,7.3525265722584
1976-09-01 00:00:00,7.092183496097948
1976-10-01 00:00:00,6.878373932846116
1976-11-01 00:00:00,6.612229044378526
1976-12-01 00:00:00,6.196677637986303
1977-01-01 00:00:00,6.048908184700719
1977-02-01 00:00:00,6.0523141196825225
1977-03-01 00:00:00,6.102888397929784
1977-04-01 00:00:00,6.580655714961381
1977-05-01 00:00:00,6.74104144390022
1977-06-01 00:00:00,6.920217353986158
1977-07-01 00:00:00,6.881150829419336
1977-08-01 00:00:00,6.832672177304544
1977-09-01 00:00:00,6.873489359027474
1977-10-01 00:00:00,6.950144555336357
1977-11-01 00:00:00,6.999499127830333
1977-12-01 00:00:00,7.3639926416055435
1978-01-01 00:00:00,7.371987717686279
1978-02-01 00:00:00,7.341035475979596
1978-03-01 00:00:00,7.433603181240356
1978-04-01 00:00:00,7.413807475332734
1978-05-01 00:00:00,7.6434914115908414
1978-06-01 00:00:00,7.679164102779068
1978-07-01 00:00:00,7.912838517689247
1978-08-01 00:00:00,8.17659461548601
1978-09-01 00:00:00,8.576148161687168
1978-10-01 00:00:00,9.036465570458251
1978-11-01 00:00:00,9.211524760654077
